# Time,Accel
0.0000,-4.5242590e-03
0.0050,-5.4536090e-03
0.0100,-3.8795340e-03
0.0150,-5.9664780e-05
0.0200,1.4539680e-04
0.0250,3.1417290e-04
0.0300,4.2421310e-04
0.0350,5.2306330e-04
0.0400,6.1918080e-04
0.0450,7.1355980e-04
0.0500,8.1022020e-04
0.0550,9.0375190e-04
0.0600,9.7890340e-04
0.0650,1.0226520e-03
0.0700,1.0304020e-03
0.0750,1.0085700e-03
0.0800,9.6812400e-04
0.0850,9.1712260e-04
0.0900,8.6049070e-04
0.0950,7.9835390e-04
0.1000,7.2977610e-04
0.1050,6.6208820e-04
0.1100,6.0724100e-04
0.1150,5.7308470e-04
0.1200,5.6327660e-04
0.1250,5.7510920e-04
0.1300,5.9449940e-04
0.1350,6.0418270e-04
0.1400,5.9496430e-04
0.1450,5.6397030e-04
0.1500,5.1586260e-04
0.1550,4.6285680e-04
0.1600,4.0946300e-04
0.1650,3.5643200e-04
0.1700,3.1890310e-04
0.1750,3.2075750e-04
0.1800,3.7473670e-04
0.1850,4.6346620e-04
0.1900,5.5139700e-04
0.1950,6.2303340e-04
0.2000,6.8356860e-04
0.2050,7.2988840e-04
0.2100,7.5270320e-04
0.2150,7.5256120e-04
0.2200,7.3587310e-04
0.2250,7.1193560e-04
0.2300,6.9015990e-04
0.2350,6.7240410e-04
0.2400,6.5001490e-04
0.2450,6.1180340e-04
0.2500,5.6311750e-04
0.2550,5.2745430e-04
0.2600,5.2766850e-04
0.2650,5.6709920e-04
0.2700,6.2931300e-04
0.2750,7.0430450e-04
0.2800,7.9574820e-04
0.2850,9.0353600e-04
0.2900,1.0178390e-03
0.2950,1.1227400e-03
0.3000,1.2050260e-03
0.3050,1.2515380e-03
0.3100,1.2388460e-03
0.3150,1.1537660e-03
0.3200,1.0202850e-03
0.3250,8.7658640e-04
0.3300,7.5221430e-04
0.3350,6.8198610e-04
0.3400,6.8660220e-04
0.3450,7.4743030e-04
0.3500,8.3148980e-04
