# Period,Spectrum
0.000,0.1433283
0.010,0.1433504
0.020,0.1465815
0.030,0.1482066
0.040,0.1566722
0.050,0.1925177
0.060,0.1768685
0.070,0.1980753
0.080,0.2440592
0.090,0.3039384
0.100,0.2820644
0.110,0.2733429
0.120,0.2874551
0.130,0.3167179
0.140,0.3224815
0.150,0.3440385
0.160,0.3498078
0.170,0.3318658
0.180,0.3647735
0.190,0.3715325
0.200,0.3973474
0.220,0.3143969
0.240,0.3514608
0.260,0.2862981
0.280,0.3230682
0.300,0.3267659
0.320,0.3386215
0.340,0.3216140
0.360,0.3320479
0.380,0.3623220
0.400,0.3579198
0.420,0.3213527
0.440,0.3068754
0.460,0.2730351
0.480,0.2113358
0.500,0.2176656
0.550,0.2253666
0.600,0.2346612
0.650,0.1990294
0.700,0.2273924
0.750,0.1884262
0.800,0.1784817
0.850,0.1779651
0.900,0.1870887
0.950,0.1597740
1.000,0.1885324
1.100,0.2169657
1.200,0.1813073
1.300,0.1687413
1.400,0.1586053
1.500,0.1412960
1.600,0.1181890
1.700,0.1121480
1.800,0.1200101
1.900,0.1275450
2.000,0.1310086
2.200,0.1223096
2.400,0.1002303
2.600,0.0883252
2.800,0.0749283
3.000,0.0631141
3.200,0.0685048
3.400,0.0689053
3.600,0.0645170
3.800,0.0575188
4.000,0.0499543
4.500,0.0391111
5.000,0.0336162
5.500,0.0309411
6.000,0.0341976
